"Sleep HRV — 2026-09-10 to 2026-09-16
========================
Note: dates are wake-up days (each value comes from the night that ended that morning).

HRV Assessment — Last 7 days
========================

2026-09-16:
  HRV Avg: 41 ms — Above normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-15:
  HRV Avg: 37 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-14:
  HRV Avg: 34 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-13:
  HRV Avg: 29 ms — Below normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-12:
  HRV Avg: 36 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-11:
  HRV Avg: 35 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-10:
  HRV Avg: 39 ms — Normal
  Normal Range: 29 - 39 ms
  Baseline: 34 ms

Sleep HRV Time Series — Last 7 days
========================

  timestamp=1789092890, timezone=12, hrv=14 ms, status=0, confidence=100
  timestamp=1789093490, timezone=12, hrv=17 ms, status=0, confidence=100
  timestamp=1789095890, timezone=12, hrv=58 ms, status=0, confidence=94
  timestamp=1789096190, timezone=12, hrv=17 ms, status=0, confidence=100
  timestamp=1789097390, timezone=12, hrv=41 ms, status=0, confidence=86
  timestamp=1789097690, timezone=12, hrv=31 ms, status=0, confidence=100
  timestamp=1789103990, timezone=12, hrv=17 ms, status=0, confidence=100
  timestamp=1789104290, timezone=12, hrv=57 ms, status=0, confidence=97
  timestamp=1789113290, timezone=12, hrv=53 ms, status=0, confidence=100
  timestamp=1789117190, timezone=12, hrv=60 ms, status=0, confidence=94
  timestamp=1789125890, timezone=12, hrv=40 ms, status=0, confidence=97
  timestamp=1789126790, timezone=12, hrv=40 ms, status=0, confidence=84
  timestamp=1789130990, timezone=12, hrv=55 ms, status=0, confidence=89
  timestamp=1789133390, timezone=12, hrv=18 ms, status=0, confidence=100
  timestamp=1789136990, timezone=12, hrv=40 ms, status=0, confidence=97
  timestamp=1789145090, timezone=12, hrv=52 ms, status=0, confidence=91
  timestamp=1789153190, timezone=12, hrv=14 ms, status=0, confidence=100
  timestamp=1789154990, timezone=12, hrv=32 ms, status=0, confidence=93
  timestamp=1789155590, timezone=12, hrv=14 ms, status=0, confidence=100
  timestamp=1789156490, timezone=12, hrv=24 ms, status=0, confidence=100
  timestamp=1789156790, timezone=12, hrv=20 ms, status=0, confidence=93
  timestamp=1789158890, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789159190, timezone=12, hrv=49 ms, status=0, confidence=100
  timestamp=1789159790, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789160090, timezone=12, hrv=37 ms, status=0, confidence=100
  timestamp=1789160390, timezone=12, hrv=37 ms, status=0, confidence=100
2026-09-12:
  timestamp=1789160990, timezone=12, hrv=24 ms, status=0, confidence=100
  timestamp=1789161590, timezone=12, hrv=15 ms, status=0, confidence=100
  timestamp=1789162190, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789163090, timezone=12, hrv=73 ms, status=0, confidence=87
  timestamp=1789163690, timezone=12, hrv=62 ms, status=0, confidence=100
  timestamp=1789164290, timezone=12, hrv=31 ms, status=0, confidence=100
  timestamp=1789165190, timezone=12, hrv=37 ms, status=0, confidence=100
  timestamp=1789165790, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789166390, timezone=12, hrv=70 ms, status=0, confidence=96
  timestamp=1789166990, timezone=12, hrv=49 ms, status=0, confidence=100
  timestamp=1789169090, timezone=12, hrv=48 ms, status=0, confidence=84
  timestamp=1789170890, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789171490, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789172390, timezone=12, hrv=44 ms, status=0, confidence=100
